name,location,rating,votes,cost,cuisines
Re Malnad Nati Style Hotel,JP Nagar,3.6,16,400.0,South Indian
Karma Kaapi,Jayanagar,4.4,181,250.0,"Beverages, Tea"
Tiwari's,Jayanagar,3.8,70,200.0,"North Indian, Street Food"
Pizza Stop,Basavanagudi,3.8,164,600.0,"Pizza, Italian"
Biggies Burger 'n' More,Kumaraswamy Layout,3.6,58,650.0,"Cafe, Burger, Beverages"
Srinathji's Cafe,Basavanagudi,3.8,148,550.0,"North Indian, Cafe, Chinese, Fast Food"
Kollapuri's,Basavanagudi,3.9,206,450.0,"South Indian, Mangalorean"
Kadamba Classic,Mysore Road,3.6,16,300.0,South Indian
RS Shiv Sagar,Basavanagudi,3.7,217,450.0,"North Indian, Chinese, South Indian, Fast Food, Juices"
Kholi Mane,Basavanagudi,3.6,46,450.0,"Andhra, South Indian, Biryani, North Indian"
Harshi Super Sandwich,Basavanagudi,3.8,148,150.0,"Fast Food, Street Food"
Cake Yard,Basavanagudi,3.4,30,250.0,Desserts
Rosewood International Hotel - Bar & Restaurant,Mysore Road,3.6,8,800.0,"North Indian, South Indian, Andhra, Chinese"
Sri Udupi Veg,Jayanagar,3.3,4,250.0,South Indian
Cake Art,Basavanagudi,3.5,15,400.0,Bakery
Potato House,Uttarahalli,3.4,9,200.0,Street Food
Matru Sagar,Mysore Road,3.7,31,300.0,"South Indian, North Indian"
Ugadi,Jayanagar,2.9,177,700.0,"North Indian, Chinese, Biryani, Andhra, Mangalorean"
Sri Krishna Sweets,Basavanagudi,3.7,22,250.0,"Mithai, Desserts"
In Time Cane Juice,Kumaraswamy Layout,3.5,10,100.0,"Juices, Beverages"
Subway,Banashankari,3.7,136,600.0,"Salad, Fast Food"
Daal Roti,Kumaraswamy Layout,2.9,35,250.0,"North Indian, Chinese"
The Lassi Park,Jayanagar,4.1,185,200.0,"Juices, Desserts"
Cafe Coffee Day,Jayanagar,3.2,17,900.0,"Cafe, Fast Food"
A2B - Adyar Ananda Bhavan,Mysore Road,3.8,155,400.0,"South Indian, North Indian, Chinese, Street Food"
Srikrishna Bhavan,Banashankari,3.8,42,300.0,"South Indian, North Indian, Chinese"
Timepass Dinner,Basavanagudi,3.8,286,600.0,North Indian
Green Gardenia,Banashankari,3.8,160,700.0,"North Indian, Chinese"
J Spice,Banashankari,3.8,59,750.0,"North Indian, Chinese"
Karavali Family Restaurant,Jayanagar,3.5,90,500.0,"Seafood, Biryani, South Indian, North Indian, Chinese"
Karavali Lunch Home,Kumaraswamy Layout,3.7,51,350.0,"South Indian, Mangalorean"
Hatti Kaapi,Jayanagar,4.0,89,200.0,"South Indian, Beverages"
Kolkata Kathi Roll's,Banashankari,3.6,18,250.0,"Fast Food, Rolls"
Upahara Darshini,Basavanagudi,3.9,40,600.0,"North Indian, Chinese, South Indian, Fast Food"
The Chaat Shop,Basavanagudi,2.5,35,200.0,Fast Food
Anda Ka Funda,Jayanagar,3.4,89,250.0,"North Indian, Chinese, Rolls"
Shri Vinayaka Ice N Juice,Basavanagudi,3.2,11,150.0,"Beverages, Fast Food"
My Tea House,Banashankari,3.6,62,600.0,"Italian, Fast Food, Cafe, European"
Ibaco,Jayanagar,3.9,33,300.0,Desserts
Jalaram Sweets,Jayanagar,3.8,32,250.0,"Desserts, Mithai"
Samskruti - Sanman Gardenia,Jayanagar,4.1,139,550.0,"North Indian, Chinese, South Indian"
Bendakaluru Bytes,Vijay Nagar,3.2,154,300.0,Fast Food
Cocoa Bakes,Banashankari,3.6,14,350.0,"Bakery, Desserts"
Chumma Delicious,Banashankari,3.7,237,200.0,"South Indian, Fast Food"
New Prashanth Hotel,Banashankari,3.9,388,650.0,"Biryani, North Indian, Seafood, Andhra"
Dwaraka Grand,Kumaraswamy Layout,3.9,128,500.0,"South Indian, Chinese, Street Food, Juices"
Gufha - The President Hotel,Jayanagar,4.1,1875,1200.0,"North Indian, Afghani, Mughlai"
Cafe Vivacity,Banashankari,3.8,90,650.0,Cafe
Tanna's Kitchen,Kumaraswamy Layout,3.1,7,250.0,"Italian, Chinese, Street Food"
Shree Mandarathi Grand,Uttarahalli,3.7,38,400.0,"South Indian, North Indian"
Mojo Pizza - 2X Toppings,Banashankari,4.2,179,600.0,Pizza
Iceberg Icecreams,Basavanagudi,4.0,43,250.0,"Desserts, Ice Cream"
South Kitchen,Basavanagudi,4.3,275,100.0,South Indian
Chung Wah,Jayanagar,3.7,323,850.0,"Chinese, Thai, Momos"
Shanthi Sagar,Uttarahalli,3.1,28,400.0,"South Indian, North Indian, Chinese"
Millet Mama,Basavanagudi,3.9,18,200.0,"South Indian, Healthy Food"
Bangarpet Chat Express,Basavanagudi,3.3,6,100.0,"Street Food, Fast Food"
Prems Graama Bhojanam,Jayanagar,4.3,322,400.0,South Indian
Java City,Jayanagar,2.6,157,450.0,"Cafe, American, Pizza"
Kamat Bugle Rock,Basavanagudi,3.9,543,300.0,"South Indian, Fast Food"
Woodee Pizza,Banashankari,3.7,180,500.0,"Cafe, Pizza, Fast Food, Beverages"
Puliyogare Point,Basavanagudi,4.2,444,100.0,South Indian
Bangalore Agarwal Bhavan,Jayanagar,3.9,134,400.0,"Street Food, North Indian, South Indian"
Rustic Stove,Jayanagar,3.8,577,900.0,"North Indian, South Indian, Biryani, Beverages"
Udupi Ruchi Grand,Banashankari,4.2,60,200.0,"South Indian, North Indian, Chinese, Street Food"
De Thaali,Jayanagar,3.9,144,550.0,"North Indian, Chinese, Rolls"
Spice Elephant,Banashankari,4.1,787,800.0,"Chinese, North Indian, Thai"
Just Thindi,Basavanagudi,3.6,16,200.0,South Indian
Matru Sagar,Banashankari,3.6,84,250.0,"South Indian, North Indian, Chinese"
Vasanth Vihar - Since 1965,Banashankari,3.6,95,150.0,"South Indian, Street Food"
Sea Spice by 7 Star,Banashankari,4.0,349,1200.0,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab"
Desi Dawat,Kumaraswamy Layout,3.7,248,400.0,"North Indian, Fast Food"
Cafe Aira,Basavanagudi,4.1,216,500.0,"Cafe, Continental, Beverages, Desserts"
Penthouse Cafe,Banashankari,4.0,324,700.0,"Cafe, Italian, Continental"
Mast Punjabi,Kumaraswamy Layout,2.6,231,400.0,"North Indian, Chinese, Rolls, Biryani, Kebab"
South Grand,Uttarahalli,3.4,102,400.0,"South Indian, North Indian, Chinese, Beverages"
Catch-up-ino,Banashankari,3.9,133,800.0,"Cafe, Fast Food, Continental, Chinese, Momos"
The Pizzeria,Banashankari,2.8,45,800.0,"Pizza, Italian, Salad"
Cafe Zone,Kumaraswamy Layout,3.9,149,300.0,"Fast Food, Chinese, Rolls"
Ruchis Point,Banashankari,3.8,75,200.0,"Fast Food, Chinese"
Firangi Bake,Rajarajeshwari Nagar,4.0,53,600.0,"Mexican, Italian"
The Royal Corner - Pai Viceroy,Jayanagar,4.2,815,900.0,"North Indian, Chinese"
Hara Fine Dine,Banashankari,4.0,633,800.0,"North Indian, Chinese"
Chocoberry,Jayanagar,3.5,56,400.0,"Ice Cream, Desserts, Beverages"
Dakshin Grand,Banashankari,3.0,82,300.0,"South Indian, North Indian, Chinese, Street Food"
Sandwichwallas,Jayanagar,3.7,35,200.0,Fast Food
Chai Mane,Basavanagudi,3.6,20,150.0,"Juices, Fast Food"
SLV Upachar,Kumaraswamy Layout,3.1,14,250.0,"South Indian, Chinese, Street Food"
Waffle-A-Go Go,Banashankari,3.9,70,400.0,"Fast Food, Desserts, Ice Cream"
Cross Road Cafe,Jayanagar,3.9,91,300.0,"Cafe, Fast Food, Chinese"
Anand Donne Biriyani,Jayanagar,3.6,45,200.0,Biryani
Seven Star,Banashankari,3.4,7,250.0,"North Indian, Chinese"
Stop 'N' Joy,Banashankari,3.8,28,150.0,Fast Food
Sri Yaksha Shiv Sagar,Banashankari,3.6,24,600.0,"North Indian, Chinese"
Fudge,Basavanagudi,3.8,36,200.0,"Desserts, Momos"
Just Bunny,Jayanagar,3.5,11,200.0,Fast Food
Bakers Town,Kumaraswamy Layout,3.8,77,650.0,"Cafe, Continental, Fast Food"
Shree Mahalakshmi Sweets,Banashankari,3.2,8,100.0,"Mithai, Street Food"
Kaapi Kendra,Jayanagar,3.7,14,100.0,South Indian
Ivy,Kumaraswamy Layout,3.8,210,600.0,"North Indian, Chinese, Fast Food"
The Airos,Jayanagar,4.1,130,650.0,"Cafe, Italian, Pizza"
Chai Kraft,Jayanagar,4.1,30,100.0,"Beverages, Tea"
Kirthi's Biryani,Banashankari,3.8,144,700.0,"Chinese, Cafe, Italian"
South Point Pub,Basavanagudi,3.4,11,800.0,"North Indian, Seafood, Chinese"
The Trundle,Jayanagar,3.7,133,700.0,"Chinese, Thai, Continental, North Indian"
The Krishna Grand Xpress,Jayanagar,4.0,136,350.0,"South Indian, Fast Food"
Sri Krishna Darshini,Basavanagudi,3.1,4,200.0,"South Indian, North Indian, Chinese"
Shringar Sweets & Snacks,Basavanagudi,3.5,11,200.0,"Mithai, South Indian, Street Food, Fast Food"
Udupi Grand,Basavanagudi,3.8,74,300.0,"South Indian, North Indian, Chinese"
Ganesh Grand,Basavanagudi,3.7,30,300.0,"South Indian, North Indian, Desserts"
Shreyas Upahar & Burger Point,Basavanagudi,3.0,7,200.0,"South Indian, Burger"
Coffee Tindi,Banashankari,3.8,75,200.0,"Cafe, South Indian"
Little Cafe,Basavanagudi,3.7,54,600.0,"Cafe, Beverages"
Mumbai Badam Milk & Lassi Center,Basavanagudi,3.6,23,100.0,"Beverages, Desserts"
Sri Krishna Sagar,Banashankari,3.2,119,400.0,"North Indian, Chinese"
Mylari Biryani Family Restaurant,Banashankari,3.7,73,400.0,"Biryani, Fast Food"
1980s Games Cafe,Basavanagudi,3.4,58,400.0,"Cafe, Fast Food"
Kadala Tarangaa,Banashankari,3.6,129,600.0,"Mangalorean, Seafood, North Indian"
Namma Biryani,Banashankari,3.6,24,250.0,"Biryani, Chinese, North Indian"
Nandhanu's Rasoi,Kumaraswamy Layout,3.0,175,400.0,"Chinese, North Indian"
Hotel Pork Paradise,Mysore Road,3.7,21,300.0,South Indian
As On Fire,South Bangalore,3.5,41,400.0,"Pizza, Fast Food, BBQ"
J K Fish Land,Jayanagar,3.6,35,300.0,"Seafood, Mangalorean"
Curry Leaves,Basavanagudi,4.1,176,800.0,"Andhra, North Indian, Chinese"
Lassi Shop,Banashankari,3.5,45,300.0,"Beverages, Ice Cream, Fast Food"
Magic Meals,Jayanagar,3.7,47,400.0,"Fast Food, Desserts, Beverages"
Desi Cream Junction,Jayanagar,3.7,36,650.0,"Chinese, North Indian, Pizza, Italian"
Drunken Monkey,Kumaraswamy Layout,3.8,52,400.0,"Beverages, Fast Food"
Ruchi's Corner,Banashankari,2.7,123,200.0,Fast Food
Tandoori Bytes,Kumaraswamy Layout,3.6,59,700.0,North Indian
Bangalore Donne Biriyani,Kumaraswamy Layout,3.2,4,300.0,"South Indian, Biryani"
SGS Non Veg - Gundu Pulav,Banashankari,3.8,101,400.0,"Biryani, Fast Food"
Keventers,Banashankari,3.7,54,400.0,"Desserts, Beverages, Ice Cream"
Navi Food Point,Basavanagudi,3.6,22,200.0,Fast Food
Shawarma Inc,Banashankari,3.1,31,250.0,"Rolls, Lebanese"
The Cafe Nuts and Bolts,Kumaraswamy Layout,3.0,29,500.0,"Cafe, Fast Food, Chinese"
AM WOW,Jayanagar,3.4,6,100.0,Beverages
Lalbagh Grand,Basavanagudi,3.0,22,250.0,"South Indian, North Indian, Chinese"
Funjabi Curries,Banashankari,2.9,11,500.0,North Indian
Eat Repeat,Basavanagudi,3.9,101,150.0,South Indian
Salut,Jayanagar,4.1,442,1200.0,"Continental, Finger Food, Seafood, Pizza"
Nammura Donne Biriyani,Basavanagudi,3.5,155,400.0,"Biryani, Fast Food"
Lassi Stop,Banashankari,3.4,12,150.0,"Beverages, Fast Food, Juices"
Dakshin Kitchen,Basavanagudi,3.6,15,100.0,South Indian
Sri Sai Cafe,Basavanagudi,3.5,10,200.0,South Indian
